"","Percentage of Vote Recieved 2008","Percentage of Vote Recieved 2011","Incumbent 2008-2011","Winning Margin Percentage 2008-2011","Percentage of Vote Recieved 2014","Incumbent 2011-2014","Winning Margin Percentage 2011-2014","Percentage of Vote Recieved 2017","Incumbent 2014-2017","Winning Margin Percentage 2014-2017"
"Port Hills",46.72,48.41,1,1.69,46.44,1,-1.97,53.89,1,7.45
"Rangitata",57.86,55.77,1,-2.09,67.24,1,11.47,53.56,1,-13.68
"Rimutaka",39.27,51.58,1,12.31,52.99,1,1.41,55.98,1,2.98999999999999
"Rodney",60.41,53.54,1,-6.87,63.41,1,9.87,63.14,1,-0.269999999999996
"Rongotai",52.45,50.52,1,-1.93,49.83,1,-0.690000000000005,52.34,1,2.51000000000001
"Rotorua",53.91,56.17,1,2.26000000000001,56.34,1,0.170000000000002,53.37,1,-2.97000000000001
"Selwyn",60.49,69.14,1,8.65,69.97,1,0.829999999999998,66.22,1,-3.75
"Taranaki-King Country",68.67,69.65,1,0.980000000000004,68.17,1,-1.48,66.41,1,-1.76000000000001
"Tauranga",56.81,61.4,1,4.59,56.88,1,-4.52,54.77,1,-2.11
"Te Tai Tokerau",61.95,43.31,0,-18.64,44.73,0,1.41999999999999,53.97,1,9.24
"Te Tai Tonga",47.3,40.62,0,-6.68,42.92,1,2.3,45.89,1,2.97
"Tukituki",57.18,58.42,1,1.24,52.55,1,-5.87,47.99,1,-4.56
"Waiariki",68.17,43.05,1,-25.12,45.56,1,2.51000000000001,53.74,0,8.18
"Waikato",63.44,64.9,1,1.46000000000001,65.67,1,0.769999999999996,62.18,1,-3.49
"Waimakariri",44.09,47.28,0,3.19,48.6,1,1.32,57.6,1,9
"Wairarapa",51.02,52.65,1,1.63,43.9,1,-8.75,41.4,1,-2.5
"Waitaki",60.13,61.45,1,1.32,62.98,1,1.52999999999999,57.46,1,-5.52
"Wellington Central",42.18,49.15,1,6.97,52.01,1,2.86,49.26,1,-2.75
"West Coast-Tasman",46.51,47.51,0,1,47.29,1,-0.219999999999999,49.54,1,2.25
"Whanganui",56.3,53.69,1,-2.61,53.69,1,0,45.6,1,-8.09
"Whangarei",64.16,59.18,1,-4.98,55.58,1,-3.6,46.29,1,-9.29
"Wigram",44.5,45.11,0,0.609999999999999,48.95,1,3.84,52.31,1,3.36
